,,x1,x2,a,t,y,y_obs
train,0,0.2805345207656788,0.14093365884589137,0.0,1.0,1.0,1.0
train,1,0.16428562524829002,0.046729889236924976,0.0,1.0,0.0,0.0
train,2,0.17446507212929693,0.08985573328993934,0.0,0.0,0.0,0.0
train,3,0.08891937926176614,0.2553168780238317,0.0,0.0,0.0,0.0
train,4,0.4005418941202894,-0.018242489251365374,0.0,1.0,0.0,0.0
train,5,0.0999474414219313,0.6500982732633247,0.0,0.0,0.0,0.0
train,6,-0.01188768598021156,0.11895426414278853,0.0,0.0,0.0,0.0
train,7,0.4377659206048729,0.2318583430458822,0.0,1.0,1.0,1.0
train,8,0.3850679747030008,0.388171420641498,0.0,0.0,1.0,0.0
train,9,0.13543299172467863,-0.04054853254750665,0.0,1.0,0.0,0.0
train,10,0.22199582265963336,0.03338060568052015,0.0,1.0,0.0,0.0
train,11,0.3722521044976209,0.10076515001115507,0.0,1.0,1.0,1.0
train,12,0.20015463032005754,0.10929888903359589,0.0,0.0,0.0,0.0
train,13,0.2733795531972934,0.21203784929982444,0.0,0.0,0.0,0.0
train,14,0.19510645794046927,0.49503746405632926,0.0,0.0,1.0,0.0
train,15,0.6157919842621123,0.45891496514211766,0.0,1.0,1.0,1.0
train,16,0.1796418311079615,0.20492954133805638,0.0,0.0,0.0,0.0
train,17,0.24939429255810397,0.029341841448183525,0.0,1.0,1.0,1.0
train,18,0.47023559340968907,0.2697067393746103,0.0,1.0,0.0,0.0
train,19,0.2023865759537015,0.2141231697053011,0.0,0.0,0.0,0.0
train,20,0.0581364526747169,0.18625202043626232,0.0,0.0,0.0,0.0
train,21,0.554833679471239,0.00450458487605826,0.0,1.0,0.0,0.0
train,22,0.14543867327316568,0.44955955949080784,0.0,0.0,1.0,0.0
train,23,0.38692936349197127,0.10393710039884793,0.0,1.0,1.0,1.0
train,24,0.18535028189705965,0.46679696470160786,0.0,0.0,0.0,0.0
train,25,-0.06817081374293432,0.1192642888781749,0.0,0.0,0.0,0.0
train,26,0.19762227451394376,0.1804432483106415,0.0,0.0,0.0,0.0
train,27,0.25683422029674113,0.17606882778235738,0.0,0.0,1.0,0.0
train,28,0.2627891712139998,0.22642576317216734,0.0,0.0,0.0,0.0
train,29,0.7289467971643875,0.3136215765545481,0.0,1.0,1.0,1.0
train,30,0.19393525464704048,0.18579730297232488,0.0,0.0,0.0,0.0
train,31,0.2123359828066433,0.08154948440282776,0.0,0.0,0.0,0.0
train,32,0.5415328172176598,-0.059506092654908166,0.0,1.0,0.0,0.0
train,33,-0.11913028006515164,0.34419887621428336,0.0,0.0,0.0,0.0
train,34,0.32866364452496366,0.28256372785306993,0.0,0.0,0.0,0.0
train,35,0.2446421195047961,-0.014733859160744434,0.0,1.0,0.0,0.0
train,36,0.2935331432410647,0.033580916756623835,0.0,1.0,1.0,1.0
train,37,-0.005118897357792002,0.3025986103349275,0.0,0.0,1.0,0.0
train,38,0.11870990427958023,0.37544026729295576,0.0,0.0,1.0,0.0
train,39,0.27017673369776163,0.06785421717529987,0.0,1.0,1.0,1.0
train,40,0.22480949440198345,0.21568939727878061,0.0,0.0,0.0,0.0
train,41,0.05241764063869024,0.41684549013839844,0.0,0.0,0.0,0.0
train,42,-0.06228300415947083,0.40749694681742166,0.0,0.0,1.0,0.0
train,43,0.020378383146151646,0.2150499764160891,0.0,0.0,0.0,0.0
train,44,0.5241327083253153,0.3294447477331131,0.0,1.0,0.0,0.0
train,45,0.3289841236666968,0.1829301319734043,0.0,1.0,0.0,0.0
train,46,0.33160689550944533,0.2050630838645312,0.0,0.0,0.0,0.0
train,47,0.13970355283220787,0.21886099800615447,0.0,0.0,0.0,0.0
train,48,0.29700853569570906,-0.10891804100567631,0.0,1.0,0.0,0.0
train,49,0.24413103671553277,0.31810225557590377,0.0,0.0,1.0,0.0
train,50,0.0158210015881117,0.14430842567836152,0.0,0.0,0.0,0.0
train,51,0.3965096747244373,0.3254744980395259,0.0,0.0,0.0,0.0
train,52,0.08920975854011784,-0.04194784210488903,0.0,1.0,0.0,0.0
train,53,-0.08303029436340836,0.2823069803538607,0.0,0.0,0.0,0.0
train,54,0.1448098201029567,-0.12263077362318153,0.0,1.0,0.0,0.0
train,55,0.22707947930994954,-0.03236298663054596,0.0,1.0,0.0,0.0
train,56,-0.06870912005045848,0.0843643488707427,0.0,0.0,0.0,0.0
train,57,-0.08220123544162708,0.41115624800671585,0.0,0.0,1.0,0.0
train,58,0.0330070090229026,0.10867920270339973,0.0,0.0,0.0,0.0
train,59,0.15979816692136625,0.256570834658854,0.0,0.0,0.0,0.0
train,60,0.0748643445428293,0.15224506396265367,0.0,0.0,0.0,0.0
train,61,0.031344830944653734,0.09241194275580315,0.0,0.0,0.0,0.0
train,62,0.2785265055637674,0.24882976427186093,0.0,0.0,0.0,0.0
train,63,0.23304092610151123,0.2890683037614236,0.0,0.0,0.0,0.0
train,64,0.13676819652225308,0.041132554827557594,0.0,1.0,0.0,0.0
train,65,-0.12602981372123673,0.09916066952098894,0.0,0.0,0.0,0.0
train,66,0.17393276028500348,0.4206698465761504,0.0,0.0,0.0,0.0
train,67,0.110716778353259,0.44060826244117485,0.0,0.0,1.0,0.0
train,68,-0.1817159717383992,0.5211045741335637,0.0,0.0,0.0,0.0
train,69,0.3010225284119261,0.4062813048395075,0.0,0.0,0.0,0.0
train,70,0.009069509634553302,0.4175709865552439,0.0,0.0,0.0,0.0
train,71,-0.0010177309226555853,0.24651921779944785,0.0,0.0,0.0,0.0
train,72,0.22985471924851292,0.544103068350297,0.0,0.0,1.0,0.0
train,73,0.18203066794968442,-0.08660278237592928,0.0,1.0,0.0,0.0
train,74,0.2836172032638727,0.1148435277234412,0.0,1.0,1.0,1.0
train,75,0.42118119450694136,0.08102936215739569,0.0,1.0,0.0,0.0
train,76,0.16271603857401704,0.10575985682483394,0.0,0.0,0.0,0.0
train,77,0.10296347617496183,0.392334752275338,0.0,0.0,0.0,0.0
train,78,0.34776823695357334,-0.03262278238827876,0.0,1.0,0.0,0.0
train,79,0.09314735737976462,0.3512114654622923,0.0,0.0,0.0,0.0
train,80,0.28976643078569414,0.2635535920107801,0.0,0.0,0.0,0.0
train,81,0.3317206957148285,0.3473116867021838,0.0,0.0,0.0,0.0
train,82,0.13319483180614353,0.13138051399935907,0.0,0.0,0.0,0.0
train,83,0.29140426182534784,0.3922682226321167,0.0,0.0,0.0,0.0
train,84,0.2955601684709224,0.013778989971610173,0.0,1.0,1.0,1.0
train,85,0.13161380243291265,0.2500735864555756,0.0,0.0,0.0,0.0
train,86,0.5027196450421372,0.3611556581745484,0.0,1.0,0.0,0.0
train,87,-0.0912143099714589,0.09811257747942756,0.0,0.0,0.0,0.0
train,88,0.21038902918188992,0.37126829134111383,0.0,0.0,1.0,0.0
train,89,0.21522183750073468,0.07947371050310575,0.0,1.0,0.0,0.0
