,k,testing_disparity,model,metric,Group 0 value,Group 1 value,diff,overall
0.0,5.0,1.0,TestedOnlyModel,AUC,0.6879032258064516,0.6013903371567605,0.086512888649691,0.6104237521831051
0.0,5.0,1.0,TestedOnlyModel,xAUC,0.6598540145985401,0.6317204301075269,0.0281335844910132,
0.0,5.0,1.0,TestedOnlyModel,ROCGap,0.121615,-0.0350899999999999,0.156705,
0.0,5.0,1.0,DCEMModel,AUC,0.6411290322580645,0.6124782759819256,0.0286507562761388,0.615267947421638
0.0,5.0,1.0,DCEMModel,xAUC,0.6290754257907543,0.6228878648233487,0.0061875609674055,
0.0,5.0,1.0,DCEMModel,ROCGap,0.0485030998095238,-0.0198266666666666,0.0683297664761904,
0.0,5.0,1.0,YObsModel,AUC,0.6709677419354839,0.621561812072761,0.0494059298627229,0.6274106075926096
0.0,5.0,1.0,YObsModel,xAUC,0.6467153284671533,0.6498463901689708,-0.0031310617018175,
0.0,5.0,1.0,YObsModel,ROCGap,0.1023373809523809,-0.0529314285714285,0.1552688095238095,
0.0,1.0,2.0,TestedOnlyModel,AUC,0.7838709677419354,0.5970571196848569,0.1868138480570785,0.6152403713576615
0.0,1.0,2.0,TestedOnlyModel,xAUC,0.7343065693430657,0.6444700460829493,0.0898365232601163,
0.0,1.0,2.0,TestedOnlyModel,ROCGap,0.1873783933333333,-0.0004832703296703,0.1878616636630037,
0.0,1.0,2.0,DCEMModel,AUC,0.6137096774193549,0.3728420808712779,0.2408675965480769,0.3944020590127769
0.0,1.0,2.0,DCEMModel,xAUC,0.614963503649635,0.3784178187403993,0.2365456849092356,
0.0,1.0,2.0,DCEMModel,ROCGap,0.2386777669523809,-2.0476190476190462e-05,0.2386982431428571,
0.0,1.0,2.0,YObsModel,AUC,0.707258064516129,0.6246437261035801,0.0826143384125489,0.6336060299659895
0.0,1.0,2.0,YObsModel,xAUC,0.6594890510948905,0.6697388632872504,-0.0102498121923598,
0.0,1.0,2.0,YObsModel,ROCGap,0.1001211904761904,-0.0179040789523809,0.1180252694285714,
0.0,10.0,0.5,TestedOnlyModel,AUC,0.6741935483870968,0.627262194415479,0.0469313539716177,0.63276955602537
0.0,10.0,0.5,TestedOnlyModel,xAUC,0.6515815085158151,0.6533794162826421,-0.0017979077668269,
0.0,10.0,0.5,TestedOnlyModel,ROCGap,0.1029052380952381,-0.0559741238095238,0.1588793619047619,
0.0,10.0,0.5,DCEMModel,AUC,0.6459677419354839,0.6329741629011701,0.0129935790343137,0.6353984741244599
0.0,10.0,0.5,DCEMModel,xAUC,0.6288321167883212,0.6544546850998464,-0.0256225683115252,
0.0,10.0,0.5,DCEMModel,ROCGap,0.0773685714285714,-0.0643568902857142,0.1417254617142857,
0.0,10.0,0.5,YObsModel,AUC,0.6741935483870968,0.627262194415479,0.0469313539716177,0.63276955602537
0.0,10.0,0.5,YObsModel,xAUC,0.6515815085158151,0.6533794162826421,-0.0017979077668269,
0.0,10.0,0.5,YObsModel,ROCGap,0.1029052380952381,-0.0559741238095238,0.1588793619047619,
0.0,3.0,1.0,TestedOnlyModel,AUC,0.6862903225806452,0.6179121770362647,0.0683781455443804,0.6264546373747587
0.0,3.0,1.0,TestedOnlyModel,xAUC,0.667396593673966,0.6516129032258065,0.0157836904481595,
0.0,3.0,1.0,TestedOnlyModel,ROCGap,0.0997523809523809,-0.0313916651428571,0.1311440460952381,
0.0,3.0,1.0,DCEMModel,AUC,0.6120967741935484,0.5461128490325571,0.0659839251609912,0.552376137512639
0.0,3.0,1.0,DCEMModel,xAUC,0.6127737226277372,0.5495391705069125,0.0632345521208247,
0.0,3.0,1.0,DCEMModel,ROCGap,0.0787484266666666,-0.0131719047619047,0.0919203314285714,
0.0,3.0,1.0,YObsModel,AUC,0.6967741935483871,0.6264627505503418,0.0703114429980452,0.6341391672028679
0.0,3.0,1.0,YObsModel,xAUC,0.6474452554744525,0.6705837173579109,-0.0231384618834583,
0.0,3.0,1.0,YObsModel,ROCGap,0.0992289714285714,-0.0289319047619047,0.1281608761904762,
0.0,2.0,2.0,TestedOnlyModel,AUC,0.7911290322580645,0.6207623682076236,0.1703666640504408,0.6370162698777461
0.0,2.0,2.0,TestedOnlyModel,xAUC,0.7763990267639903,0.6413978494623656,0.1350011773016247,
0.0,2.0,2.0,TestedOnlyModel,ROCGap,0.1797325564353741,-0.0093401979999999,0.1890727544353741,
0.0,2.0,2.0,DCEMModel,AUC,0.6016129032258064,0.5336577453365775,0.0679551578892289,0.5402702454269694
0.0,2.0,2.0,DCEMModel,xAUC,0.6329683698296837,0.5197388632872504,0.1132295065424333,
0.0,2.0,2.0,DCEMModel,ROCGap,0.0861314285714285,-0.0182288924523809,0.1043603210238095,
0.0,2.0,2.0,YObsModel,AUC,0.6741935483870968,0.6145058510022013,0.0596876973848954,0.6206452798970493
0.0,2.0,2.0,YObsModel,xAUC,0.6266423357664234,0.6524577572964669,-0.0258154215300435,
0.0,2.0,2.0,YObsModel,ROCGap,0.0751530952380952,-0.0154571428571428,0.0906102380952381,
0.0,10.0,2.0,TestedOnlyModel,AUC,0.6741935483870968,0.627262194415479,0.0469313539716177,0.63276955602537
0.0,10.0,2.0,TestedOnlyModel,xAUC,0.6515815085158151,0.6533794162826421,-0.0017979077668269,
0.0,10.0,2.0,TestedOnlyModel,ROCGap,0.1029052380952381,-0.0559741238095238,0.1588793619047619,
0.0,10.0,2.0,DCEMModel,AUC,0.6459677419354839,0.6329741629011701,0.0129935790343137,0.6353984741244599
0.0,10.0,2.0,DCEMModel,xAUC,0.6288321167883212,0.6544546850998464,-0.0256225683115252,
0.0,10.0,2.0,DCEMModel,ROCGap,0.0773685714285714,-0.0643568902857142,0.1417254617142857,
0.0,10.0,2.0,YObsModel,AUC,0.6741935483870968,0.627262194415479,0.0469313539716177,0.63276955602537
0.0,10.0,2.0,YObsModel,xAUC,0.6515815085158151,0.6533794162826421,-0.0017979077668269,
0.0,10.0,2.0,YObsModel,ROCGap,0.1029052380952381,-0.0559741238095238,0.1588793619047619,
0.0,0.3333333333333333,0.6666666666666667,TestedOnlyModel,AUC,0.4193548387096774,0.3453249913103928,0.0740298473992846,0.3527805864509605
0.0,0.3333333333333333,0.6666666666666667,TestedOnlyModel,xAUC,0.4626520681265206,0.38678955453149,0.0758625135950306,
0.0,0.3333333333333333,0.6666666666666667,TestedOnlyModel,ROCGap,0.1257366590803906,0.0,0.1257366590803906,
0.0,0.3333333333333333,0.6666666666666667,DCEMModel,AUC,0.5879032258064516,0.3724018074383038,0.2155014183681478,0.3824340472469896
0.0,0.3333333333333333,0.6666666666666667,DCEMModel,xAUC,0.5604622871046229,0.5523809523809524,0.0080813347236704,
0.0,0.3333333333333333,0.6666666666666667,DCEMModel,ROCGap,0.180708438145339,0.0,0.180708438145339,
0.0,0.3333333333333333,0.6666666666666667,YObsModel,AUC,0.432258064516129,0.5969760166840459,-0.1647179521679168,0.5834727456567699
0.0,0.3333333333333333,0.6666666666666667,YObsModel,xAUC,0.4302919708029197,0.6046850998463902,-0.1743931290434704,
0.0,0.3333333333333333,0.6666666666666667,YObsModel,ROCGap,0.0003707142857142,-0.1654992041904762,0.1658699184761904,
0.0,0.5,1.5,TestedOnlyModel,AUC,0.4790322580645161,0.5659251535163944,-0.0868928954518782,0.5593161136133836
0.0,0.5,1.5,TestedOnlyModel,xAUC,0.4431873479318735,0.5944700460829493,-0.1512826981510758,
0.0,0.5,1.5,TestedOnlyModel,ROCGap,0.0173284129917898,-0.1044213696288998,0.1217497826206896,
0.0,0.5,1.5,DCEMModel,AUC,0.4129032258064516,0.3503533773606766,0.0625498484457749,0.3563746667892269
0.0,0.5,1.5,DCEMModel,xAUC,0.4190997566909976,0.3528417818740399,0.0662579748169576,
0.0,0.5,1.5,DCEMModel,ROCGap,0.0877576753291404,-0.0226984959365079,0.1104561712656484,
0.0,0.5,1.5,YObsModel,AUC,0.4830645161290323,0.5815316881010312,-0.0984671719719988,0.5736097067745197
0.0,0.5,1.5,YObsModel,xAUC,0.4518248175182481,0.606605222734255,-0.1547804052160068,
0.0,0.5,1.5,YObsModel,ROCGap,0.0061997619047619,-0.1046604761904761,0.1108602380952381,
0.0,10.0,1.0,TestedOnlyModel,AUC,0.6741935483870968,0.627262194415479,0.0469313539716177,0.63276955602537
0.0,10.0,1.0,TestedOnlyModel,xAUC,0.6515815085158151,0.6533794162826421,-0.0017979077668269,
0.0,10.0,1.0,TestedOnlyModel,ROCGap,0.1029052380952381,-0.0559741238095238,0.1588793619047619,
0.0,10.0,1.0,DCEMModel,AUC,0.6459677419354839,0.6329741629011701,0.0129935790343137,0.6353984741244599
0.0,10.0,1.0,DCEMModel,xAUC,0.6288321167883212,0.6544546850998464,-0.0256225683115252,
0.0,10.0,1.0,DCEMModel,ROCGap,0.0773685714285714,-0.0643568902857142,0.1417254617142857,
0.0,10.0,1.0,YObsModel,AUC,0.6741935483870968,0.627262194415479,0.0469313539716177,0.63276955602537
0.0,10.0,1.0,YObsModel,xAUC,0.6515815085158151,0.6533794162826421,-0.0017979077668269,
0.0,10.0,1.0,YObsModel,ROCGap,0.1029052380952381,-0.0559741238095238,0.1588793619047619,
0.0,0.25,0.6666666666666667,TestedOnlyModel,AUC,0.5169354838709678,0.3474452554744525,0.1694902283965152,0.365502343965438
0.0,0.25,0.6666666666666667,TestedOnlyModel,xAUC,0.5295620437956204,0.462442396313364,0.0671196474822564,
0.0,0.25,0.6666666666666667,TestedOnlyModel,ROCGap,0.1669315589047619,0.0,0.1669315589047619,
0.0,0.25,0.6666666666666667,DCEMModel,AUC,0.6104838709677419,0.3743135210288495,0.2361703499388924,0.4045224744921408
0.0,0.25,0.6666666666666667,DCEMModel,xAUC,0.5738442822384429,0.562442396313364,0.0114018859250788,
0.0,0.25,0.6666666666666667,DCEMModel,ROCGap,0.1731910207743008,0.0,0.1731910207743008,
0.0,0.25,0.6666666666666667,YObsModel,AUC,0.457258064516129,0.5933379677905225,-0.1360799032743934,0.5823880871403622
0.0,0.25,0.6666666666666667,YObsModel,xAUC,0.4506082725060827,0.6049923195084486,-0.1543840470023658,
0.0,0.25,0.6666666666666667,YObsModel,ROCGap,0.0014079657142857,-0.137497619047619,0.1389055847619047,
